espn_id,player_name,euro_id
1310,Ben Willman,NA
11246,Ben Wolcott,NA
NA,Ben Wong,43130
NA,Benedict Staben,38989
3620,Benjamin Alvarado,NA
NA,Benjamin Follett-Smith,42160
3824,Benjamin Hebert,35509
NA,Benjamin Kedochim,42662
NA,Benjamin Lein,40471
NA,Benjamin Nicolay,8057
NA,Benjamin Poke,40804
10179,Benjamin Polland,NA
NA,Benjamin Reuter,43861
NA,Benjamin Rusch,36264
8910,Benjamin Silverman,NA
NA,Benjamin Weilguni,35539
NA,Bennie Van Der Merwe,34899
NA,Beomsoo Kim,42526
NA,Beon Yeong Lee,43099
NA,Berk Celik,41672
NA,Bernard Neumayer,37475
5881,Bernardo Gonzalez,NA
NA,Bernd Ritthammer,35573
4317,Bernd Wiesberger,33676
261,Bernhard Langer,NA
NA,Berni Reiter,36159
3483,Berry Henson,38320
NA,Beth Allen,43251
6708,Bhavik Patel,NA
NA,Bhavnish Chandaria,32068
774,Bill Haas,NA
1060,Bill Lunde,NA
NA,Bill Suguturaga,41536
470,Billy Downes,NA
NA,Billy Hemstock,37012
1651,Billy Horschel,34737
1612,Billy Hurley III,NA
6171,Billy Kennerly,NA
296,Billy Mayfair,NA
NA,Billy Mckenzie,42507
NA,Billy Spooner,41341
4690754,Billy Tom Sargent,NA
NA,Billy Watson,42943
NA,Bin Yan,39268
NA,Bingwen Ma,43116
5821,Bio Kim,40250
NA,Birgir Hafthorsson,7937
NA,Björn Åkesson,35676
NA,Björn Hellgren,38766
NA,Björn Pettersson,25051
10162,Blair Hamilton,NA
3227,Blake Adams,NA
4426308,Blake Cannon,NA
NA,Blake Collyer,43528
4351897,Blake Kelley,NA
11041,Blake Kennedy,NA
4404916,Blake Morris,NA
10367,Blake Olson,NA
10368,Blake Palmer,NA
NA,Blake Proverbs,40510
10466,Blake Pugh,NA
NA,Blake Snyder,41318
4355465,Blake Taylor,NA
4940,Blake Trimble,NA
NA,Blake Windred,43206
6062,Blayne Barber,NA
10962,Bo Andrews,NA
4780,Bo Hoag,NA
712,Bo Van Pelt,NA
NA,Bo Yi,43119
125,Bob Estes,NA
NA,Bob Geurts,43842
631,Bob Sowards,NA
8887,Bobby Bai,NA
4590,Bobby Gates,NA
4630,Bobby MacWhinnie,NA
9570,Bobby Wyatt,41053
NA,Boniface Simwa,37373
713,Boo Weekley,35462
NA,Borja Etchart,36081
NA,Borja Virto,39235
9962,Bowen Xiao,40381
NA,Boyi Zhang,43899
799,Brad Adamonis,NA
5286,Brad Benjamin,NA
10359,Brad Brunner,NA
NA,Brad Burns,30603
10488,Brad Dalke,NA
120,Brad Elder,NA
147,Brad Fritsch,33033
9624,Brad Hopfinger,NA
1470,Brad Kennedy,32009
701,Brad Lardon,NA
8996,Brad Miller,NA
NA,Brad Moules,41541
2823,Brad Ott,NA
9026,Brad Schneider,NA
NA,Brad Shilton,37246
11187,Brad Sill,NA
4591109,Braden Bailey,NA
NA,Braden Becker,41566
11094,Braden Thornberry,NA
NA,Bradford Vaughan,1435
865,Bradley Dredge,7200
NA,Bradley Mogire,43218
NA,Bradley Moore,40949
NA,Bradley Neil,40118
3446,Brady Schnell,NA
4358080,Brady Sharp,NA
NA,Brady Stead,42854
NA,Brady Watt,39733
4383,Branden Grace,35068
5617,Brandon Crick,NA
9584,Brandon Hagy,NA
7161,Brandon Harkins,NA
11074,Brandon Matthews,41984
NA,Brandon Robinson-Thompson,43831
6280,Brandon Stone,37990
4355673,Brandon Wu,43417
1222,Brandt Snedeker,33259
NA,Branislav Lucansky,43443
10667,Branson Ferrier,NA
10504,Brant Peaper,NA
1256,Brendan Jones,30703
NA,Brendan Lawlor,43681
NA,Brendan Mccarroll,34835
NA,Brendan Mcgovern,5314
3596,Brendan Steele,NA
1758,Brendon de Jonge,NA
4423890,Brendon Doyle,NA
3454,Brendon Todd,NA
10941,Brent Grant,NA
4516,Brent Witcher,NA
10905,Brett Coletta,41608
9791,Brett Drewitt,41596
