tour,season,tournament_id,tournament_name,par,yards,course,location
euro,2020,2020086,Italian Open,,,Chervò Golf Club," San Vigilio di Pozzolengo, Brescia , Italy"
euro,2020,2020100,Aphrodite Hills Cyprus Open,,,Aphrodite Hills Resort," Paphos, Cyprus"
euro,2020,2020101,Aphrodite Hills Cyprus Showdown,,,Aphrodite Hills Resort," Paphos, Cyprus"
euro,2020,2020103,Joburg Open,,,Randpark GC," Johannesburg, South Africa"
euro,2020,2020104,Alfred Dunhill Championship,,,Leopard Creek CC," Malelane, South Africa"
euro,2020,2020106,Golf in Dubai Championship presented by DP World,,,Jumeirah Golf Estates," Dubai, UAE"
euro,2020,2020105,South African Open,,,Gary Player CC," Sun City, South Africa"
euro,2020,2020098,"DP World Tour Championship, Dubai",,,Jumeirah Golf Estates," Dubai, UAE"
euro,2019,2019000,Honma Hong Kong Open presented by Amundi,,,Hong Kong GC," Fanling, Hong Kong"
euro,2019,2019003,Afrasia Bank Mauritius Open at Anahita,,,Four Seasons GC Mauritius at Anahita," Beau Champ, Mauritius"
euro,2019,2019002,Australian PGA Championship,,,RACV Royal Pines Resort," Gold Coast, Queensland, Australia"
euro,2019,2019004,South African Open hosted by the City of Johannesburg,,,Randpark GC," Johannesburg, South Africa"
euro,2019,2019006,Alfred Dunhill Championship,,,Leopard Creek CC," Malelane, South Africa"
euro,2019,2019010,Abu Dhabi HSBC Championship presented by EGA,,,Abu Dhabi GC," Abu Dhabi, UAE"
euro,2019,2019012,Omega Dubai Desert Classic,,,Emirates GC," Dubai, UAE"
euro,2019,2019014,Saudi International powered by SBIA,,,Royal Greens G&CC," King Abdullah Economic City, Saudi Arabia"
euro,2019,2019016,ISPS Handa Vic Open,,,13th Beach GC," Geelong, Victoria, Australia"
euro,2019,2019018,ISPS Handa World Super 6 Perth,,,Lake Karrinyup CC," Perth, Australia"
euro,2019,2019022,Oman Open,,,Al Mouj Golf," Muscat, Oman"
euro,2019,2019024,Commercial Bank Qatar Masters,,,Doha GC," Doha, Qatar"
euro,2019,2019026,Magical Kenya Open presented by Absa,,,Karen Country Club," Nairobi, Kenya"
euro,2019,2019028,Maybank Championship,,,Saujana G&CC," Kuala Lumpur, Malaysia"
euro,2019,2019031,Hero Indian Open,,,DLF G&CC," New Delhi, India"
euro,2019,2019038,Trophee Hassan II,,,Royal Golf Dar Es Salam," Rabat, Morocco"
euro,2019,2019040,Volvo China Open,,,Genzon GC," Shenzhen, China"
euro,2019,2019042,Betfred British Masters,,,Hillside Golf Club," Southport, England"
euro,2019,2019046,Made in Denmark presented by FREJA,,,HimmerLand," Farsø, Denmark"
euro,2019,2019048,Belgian Knockout,,,Rinkven International GC," Antwerp, Belgium"
euro,2019,2019050,GolfSixes Cascais,,,Oitavos Dunes," Cascais, Portugal"
euro,2019,2019054,BMW International Open,,,Golfclub München Eichenried," Munich, Germany"
euro,2019,2019056,Estrella Damm N.A. Andalucía Masters hosted by the Sergio Garcia Foundation,,,Real Club Valderrama," Sotogrande, Spain"
euro,2019,2019058,Dubai Duty Free Irish Open,,,Lahinch GC," Lahinch, Co. Clare, Ireland"
euro,2019,2019060,Aberdeen Standard Investments Scottish Open,,,The Renaissance Club," North Berwick, Scotland"
euro,2019,2019070,D+D Real Czech Masters,,,Albatross Golf Resort," Prague, Czech Republic"
euro,2019,2019072,Scandinavian Invitation,,,Hills Golf & Sports Club," Gothenburg, Sweden"
euro,2019,2019074,Omega European Masters,,,Crans-sur-Sierre GC," Crans Montana, Switzerland"
euro,2019,2019076,Porsche European Open,,,Green Eagle Golf Courses," Hamburg, Germany"
euro,2019,2019078,KLM Open,,,The International," Amsterdam, Netherlands"
euro,2019,2019080,BMW PGA Championship,,,Wentworth Golf Club," Virginia Water, Surrey, England"
euro,2019,2019082,Alfred Dunhill Links Championship,,,Old Course St. Andrews," Carnoustie & Kingsbarns, Scotland"
euro,2019,2019084,Mutuactivos Open de España,,,Kingsbarns Golf Links," Kingsbarns, Scotland"
euro,2019,2019086,Italian Open,,,Carnoustie," Angus, Scotland"
euro,2019,2019088,Amundi Open de France,,,Club de Campo Villa de Madrid," Madrid, Spain"
euro,2019,2019090,Portugal Masters,,,Olgiata GC," Rome, Italy"
euro,2019,2019093,Turkish Airlines Open,,,Dom Pedro Victoria Golf Course," Vilamoura, Portugal"
euro,2019,2019094,Nedbank Golf Challenge hosted by Gary Player,,,Sheshan International GC," Shanghai, China"
euro,2019,2019095,"DP World Tour Championship, Dubai",,,The Montgomerie Maxx Royal," Antalya, Turkey"
euro,2018,2017095,UBS Hong Kong Open,,,Hong Kong GC," Fanling, Hong Kong"
euro,2018,2017097,AfrAsia Bank Mauritius Open,,,Heritage GC," Heritage Bel Ombre, Mauritius"
euro,2018,2017096,Australian PGA Championship,,,RACV Royal Pines Resort," Gold Coast, Queensland, Australia"
euro,2018,2017098,Joburg Open,,,Randpark GC," Johannesburg, South Africa"
