player_name,avg_dk_pts_gained,min_dk_pts_gained,max_dk_pts_gained,win_dk,top5_dk,top10_dk,top20_dk,tournament_id,sim_type
Andrea Pavan,9.134058342473912,-16.59172853300175,49.30218576844182,0.58,3.5000000000000004,7.9,17.2,401056547,adjusted_with_course_fit
Thorbjorn Olesen,9.718136988770135,-16.644941318345065,59.285327260410014,0.44999999999999996,3.39,7.37,17.119999999999997,401056547,adjusted_with_course_fit
Ryan Palmer,9.501826354566532,-15.344019295931737,67.63470678207094,0.62,3.35,7.48,16.57,401056547,adjusted_with_course_fit
Lucas Bjerregaard,8.767103385015622,-17.275687157069186,55.75431345262568,0.79,3.85,7.79,16.46,401056547,adjusted_with_course_fit
Kevin Kisner,9.707334492767075,-15.046504555894934,49.11172714484914,0.49,2.97,6.92,16.439999999999998,401056547,adjusted_with_course_fit
Luke List,8.882190647646867,-16.306169866810478,52.640029005094846,0.66,3.2800000000000002,7.049999999999999,16.220000000000002,401056547,adjusted_with_course_fit
Keith Mitchell,8.54622034403776,-18.711330647230902,57.20236455763359,0.67,3.47,7.22,15.959999999999999,401056547,adjusted_with_course_fit
Andy Sullivan,8.786699202553855,-15.840062078169243,61.17513359182226,0.64,3.3000000000000003,7.430000000000001,15.67,401056547,adjusted_with_course_fit
Justin Harding,8.701816087105293,-15.472970873749498,55.849325724432106,0.48,3.04,7.000000000000001,15.629999999999999,401056547,adjusted_with_course_fit
Rory Sabbatini,8.879395864858363,-19.33337999650287,54.236817140499866,0.52,3.32,7.1499999999999995,15.58,401056547,adjusted_with_course_fit
Sung Kang,8.437117256398723,-23.29349172024744,58.94795027249117,0.5,2.93,6.39,15.14,401056547,adjusted_with_course_fit
Byeong Hun An,8.889916885713024,-18.38097554253606,55.370446110327734,0.36,2.48,6.11,15,401056547,adjusted_with_course_fit
Billy Horschel,9.274152576365202,-13.82776851995294,64.47176316940391,0.38,2.64,6.2,14.95,401056547,adjusted_with_course_fit
Abraham Ancer,8.471830084408285,-15.318253026971641,47.70457123262183,0.3,2.45,6.1899999999999995,14.580000000000002,401056547,adjusted_with_course_fit
Tom Lewis,8.517634109636582,-16.672761651809722,55.797750458414335,0.4,2.81,6.29,14.469999999999999,401056547,adjusted_with_course_fit
Zach Johnson,8.302362899699242,-18.94818354559187,51.44881261950813,0.38999999999999996,2.46,5.96,14.08,401056547,adjusted_with_course_fit
Joel Dahmen,8.316113142561772,-17.947981366224397,56.49061877708126,0.44,2.97,6.29,13.930000000000001,401056547,adjusted_with_course_fit
C.T. Pan,8.274430724710061,-14.892028762135352,53.95893189449868,0.33999999999999997,2.68,5.7299999999999995,13.84,401056547,adjusted_with_course_fit
Jim Furyk,8.685461934170862,-17.843376168270897,49.92664206460657,0.22999999999999998,2.1,5.050000000000001,13.51,401056547,adjusted_with_course_fit
Henrik Stenson,8.931896037621678,-18.528256190509527,49.51044305472564,0.18,1.72,4.390000000000001,12.809999999999999,401056547,adjusted_with_course_fit
Joost Luiten,7.686791842424822,-16.415214371096464,59.38781065556829,0.26,2.35,5.19,12.78,401056547,adjusted_with_course_fit
Francesco Molinari,8.35171741181919,-14.191143243404474,48.358789868499024,0.18,2,4.9799999999999995,12.659999999999998,401056547,adjusted_with_course_fit
Joaquin Niemann,7.175333031850769,-15.099961630465252,57.64179979098016,0.3,2.31,5.220000000000001,12.32,401056547,adjusted_with_course_fit
Bubba Watson,7.737326096224505,-16.991969187262722,48.47856503206651,0.26,1.81,4.8500000000000005,12.1,401056547,adjusted_with_course_fit
Romain Langasque,6.699748299880629,-15.75595297462072,56.74613961946517,0.4,2.19,5.319999999999999,11.92,401056547,adjusted_with_course_fit
Russell Knox,7.286432506566266,-16.758186373560218,51.27181118525071,0.42,2.25,5.09,11.74,401056547,adjusted_with_course_fit
Stewart Cink,6.556002497716948,-17.94457419290223,55.74090915201202,0.38,2.21,5.09,11.63,401056547,adjusted_with_course_fit
Paul Waring,6.8712825236507955,-17.5441517881295,49.119693013237296,0.33,2.03,4.3999999999999995,11.55,401056547,adjusted_with_course_fit
Patrick Reed,7.497773048037465,-16.899600153605487,49.18567664521858,0.12,1.76,4.51,11.42,401056547,adjusted_with_course_fit
Charley Hoffman,6.7659494083262315,-18.8907500786766,55.02512718168896,0.31,1.9,4.72,11.21,401056547,adjusted_with_course_fit
Padraig Harrington,6.542293617720746,-19.085190635233374,49.50820480523163,0.29,2.26,5.06,11.200000000000001,401056547,adjusted_with_course_fit
Kurt Kitayama,6.017132208444711,-19.003855835618943,51.48518569433974,0.36,2.3800000000000003,5.17,11.110000000000001,401056547,adjusted_with_course_fit
Dylan Frittelli,6.554523992955182,-16.527708607030746,50.14634933128549,0.27999999999999997,1.8800000000000001,4.46,10.620000000000001,401056547,adjusted_with_course_fit
Danny Willett,6.80824151076766,-16.618062133818263,45.16547918052132,0.22999999999999998,1.43,3.8899999999999997,10.23,401056547,adjusted_with_course_fit
Alexander Levy,5.484197433828609,-23.546847836722986,56.27007674881514,0.38,2.09,4.58,10.2,401056547,adjusted_with_course_fit
David Lipsky,5.811938137304984,-17.707237717371303,68.89841693803407,0.22999999999999998,1.82,4.29,10.15,401056547,adjusted_with_course_fit
Bernd Wiesberger,5.437329935838568,-18.88332037034779,53.991843319677855,0.27,1.82,4.29,9.879999999999999,401056547,adjusted_with_course_fit
Kyle Stanley,6.485849729311974,-15.562130189683254,61.39139800662525,0.15,1.35,3.56,9.68,401056547,adjusted_with_course_fit
Branden Grace,5.826999671668043,-16.501615815492567,55.48775707169862,0.27,1.72,4.2700000000000005,9.59,401056547,adjusted_with_course_fit
Nate Lashley,5.688306370699341,-18.71414995861065,52.76687164371704,0.21,1.43,3.4099999999999997,9.59,401056547,adjusted_with_course_fit
Jorge Campillo,5.950547802785491,-19.428387629456424,44.5008920506635,0.27999999999999997,1.49,3.9899999999999998,9.5,401056547,adjusted_with_course_fit
Benjamin Hebert,5.532061166916476,-18.60171059461451,48.310779015596744,0.31,1.69,4.05,9.29,401056547,adjusted_with_course_fit
Kevin Streelman,6.324699543051791,-16.570810954980498,52.00340448260152,0.26,1.52,3.4299999999999997,9.229999999999999,401056547,adjusted_with_course_fit
J.B. Holmes,5.454512786600105,-18.767880868461518,49.29115433567371,0.18,1.29,3.39,8.97,401056547,adjusted_with_course_fit
Si Woo Kim,5.343494338486119,-17.60351809703089,44.01633905485963,0.06,0.98,2.7199999999999998,7.79,401056547,adjusted_with_course_fit
Richard Sterne,4.607869976877207,-21.5325593669877,49.47607908947267,0.2,1.18,3.08,7.539999999999999,401056547,adjusted_with_course_fit
Patton Kizzire,4.697930386551619,-18.622987243801646,67.56402410467098,0.11,1.01,2.59,6.83,401056547,adjusted_with_course_fit
Graeme McDowell,4.379807483323648,-20.52158855377086,46.02190679530163,0.09,0.7799999999999999,2.6100000000000003,6.7,401056547,adjusted_with_course_fit
Christiaan Bezuidenhout,4.021857271383654,-20.09322852269727,51.254241584075,0.11,0.83,2.33,6.35,401056547,adjusted_with_course_fit
Kiradech Aphibarnrat,4.450340512045305,-19.869401907778993,46.895072713315365,0.06999999999999999,0.7000000000000001,2,6.1899999999999995,401056547,adjusted_with_course_fit
