tournament_round_id,hole,umap_1,umap_2,par,yards,adj_field_dk_avg,.cluster,hole_category
2018008_1_3,8,-0.29181891679763794,11.24526309967041,5,597,1.8333280994934211,3,easy
2018008_1_3,9,8.461224555969238,-6.648838520050049,4,456,0.7488210572399001,1,medium
2018008_1_3,10,-1.7553341388702393,12.565475463867187,5,582,1.5868492262539846,3,easy
2018008_1_3,11,4.224795341491699,4.941679000854492,4,417,1.192483029070886,1,medium
2018008_1_3,12,-9.682600021362305,6.650642395019531,3,186,0.9389619023103226,1,medium
2018008_1_3,13,7.783750534057617,4.187841415405273,4,413,1.1079759868173649,1,medium
2018008_1_3,14,4.406808376312256,-7.708585262298584,4,490,0.6361450009018719,2,hard
2018008_1_3,15,-9.547201156616211,5.994826316833496,3,177,0.896708381183562,1,medium
2018008_1_3,16,10.042129516601562,-3.231891632080078,4,475,0.8755816206201817,1,medium
2018008_1_3,17,5.314896106719971,-7.502809524536133,4,482,0.6783985220286325,2,hard
2018008_1_3,18,4.970364093780518,8.107410430908203,5,562,2.5657224656906044,3,easy
2018008_1_4,1,9.386180877685547,3.5526621341705322,4,409,1.0023421840003819,1,medium
2018008_1_4,2,1.320947527885437,11.02714729309082,5,599,1.9248773952679876,3,easy
2018008_1_4,3,6.890052318572998,4.157551288604736,4,429,1.1431872544229171,1,medium
2018008_1_4,4,-8.628711700439453,7.00505256652832,3,174,1.0164266910426354,1,medium
2018008_1_4,5,1.049954891204834,-10.129569053649902,4,468,0.48825767695812844,2,hard
2018008_1_4,6,6.517833232879639,-8.253057479858398,4,468,0.6713562685074242,2,hard
2018008_1_4,7,-12.412026405334473,6.103276252746582,3,199,0.8403703530144665,1,medium
2018008_1_4,8,5.480993747711182,13.522015571594238,5,597,1.0938914797750299,1,medium
2018008_1_4,9,2.4421122074127197,-10.772536277770996,4,456,0.5164266910426355,2,hard
2018008_1_4,10,-0.5674097537994385,15.380118370056152,5,582,1.3333280994933396,1,medium
2018008_1_4,11,-0.49250298738479614,-4.827754497528076,4,417,0.5164266910426355,2,hard
2018008_1_4,12,-8.978788375854492,7.387085437774658,3,186,1.0234689445637621,1,medium
2018008_1_4,13,8.647764205932617,3.881502866744995,4,413,1.0445957051271424,1,medium
2018008_1_4,14,8.929413795471191,1.0654561519622803,4,490,1.0375534516060156,1,medium
2018008_1_4,15,-10.217768669128418,5.351451396942139,3,177,0.8474126065355932,1,medium
2018008_1_4,16,-2.315544843673706,-12.667269706726074,4,475,0.3474126065355932,2,hard
2018008_1_4,17,6.709951877593994,-6.4658684730529785,4,482,0.7769900713243256,1,medium
2018008_1_4,18,-0.3382661044597626,12.179620742797852,5,562,1.6995252825919314,3,easy
2018008_1_2,12,7.211622714996338,6.192670822143555,3,186,0.8952720354713983,1,medium
2018008_1_2,12,7.211622714996338,6.192670822143555,3,186,0.8952720354713983,1,medium
2018008_1_2,12,7.211622714996338,6.192670822143555,5,186,0.8952720354713983,1,medium
2018008_1_2,12,7.211622714996338,6.192670822143555,5,186,0.8952720354713983,1,medium
2018010_1_1,6,-1.2857472896575928,-10.701624870300293,4,484,0.42701310674789544,2,hard
2018010_1_1,1,8.31715202331543,-6.952748775482178,4,458,0.7338312885660772,1,medium
2018010_1_1,2,-1.4205821752548218,5.452871799468994,4,351,1.6845888643236528,3,easy
2018010_1_1,3,-1.4744882583618164,12.778632164001465,5,568,1.612619167353956,3,easy
2018010_1_1,4,-9.631950378417969,5.944347858428955,3,180,0.8853464400812288,1,medium
2018010_1_1,5,9.8068389892578125,-2.1409199237823486,4,451,0.8891343188691077,1,medium
2018010_1_1,7,-8.789234161376953,7.546803951263428,3,186,1.059588864323653,1,medium
2018010_1_1,8,7.28905725479126,-8.66911792755127,4,459,0.6542858340206228,2,hard
2018010_1_1,9,4.776569843292236,-9.2328033447265625,4,463,0.6050434097781985,2,hard
