Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,Yahoo:,Salary,Finish Pts,Scoring Pts,Points,Value
Sam Ryder,0,9.84,150,,0.55645,0.1578,0.035025,0.00535,,28.17754771,7400,2.374,50.1654,52.54,4.15,,30.50812023,8900,1.6953,48.62426,50.32,3.55,,,1.2203,44.05956,45.28,-226.01
Harry Higgs,0,11.46,150,,0.582425,0.169175,0.0375,0.0066,,28.19236031,7100,2.2919,50.209,52.5,6.38,,30.44409136,8800,1.6076,48.63626,50.24,4.91,,,1.1417,43.9043,45.05,-49.51
Tom Hoge,0,3.26,150,,0.559125,0.160775,0.0353,0.0056,,27.99438052,7000,2.347,50.04645,52.39,6.96,,30.29263031,8600,1.626,48.56951,50.2,5.34,,,1.1947,43.92509,45.12,9.46
Pat Perez,0,1.29,150,,0.597225,0.17575,0.04065,0.00715,,27.89152017,6900,2.3683,50.0021,52.37,7.69,,30.22421128,8000,1.66,48.53859,50.2,5.82,,,1.1903,44.11072,45.3,68.52
Martin Laird,0,3.84,150,,0.570475,0.164725,0.038175,0.006625,,28.32135648,7100,2.3183,50.05285,52.37,6.16,,30.60916379,8600,1.6082,48.41895,50.03,4.71,,,1.1657,43.7265,44.89,-49.65
Bernd Wiesberger,0,2.01,150,,0.55625,0.154825,0.0346,0.0061,,28.08118797,7200,2.3118,49.92125,52.23,5.15,,30.33967931,8600,1.6219,48.34185,49.96,4.16,,,1.1842,43.68054,44.86,-108.58
Patrick Rodgers,0,2.08,150,,0.5584,0.155975,0.033725,0.006175,,28.09297782,6800,2.3025,49.91405,52.22,8.2,,30.34328868,7900,1.6229,48.31966,49.94,6.05,,,1.1659,43.65828,44.82,126.99
Peter Malnati,0,2.08,150,,0.544225,0.146925,0.0334,0.005875,,28.53190684,6500,2.252,49.88665,52.14,10.35,,30.85996835,8100,1.5844,48.08401,49.67,7.22,,,1.161,43.22233,44.38,303.3
Charl Schwartzel,0,1.59,150,,0.574325,0.16705,0.038425,0.006725,,28.14064489,6700,2.2645,49.7796,52.04,8.65,,30.47570942,7900,1.6048,48.1514,49.76,6.35,,,1.1517,43.47631,44.63,185.72
Henrik Norlander,0,2.79,150,,0.5422,0.14475,0.03125,0.004825,,27.86539654,7100,2.2678,49.62685,51.89,5.34,,30.16836406,8500,1.5809,47.95069,49.53,4.23,,,1.1375,43.31801,44.46,-50.04
Lucas Glover,0,4.68,150,,0.5763,0.1627,0.03555,0.005825,,27.78307757,7300,2.2507,49.6,51.85,3.74,,30.1205721,8800,1.5733,48.04175,49.62,3.36,,,1.1271,43.32579,44.45,-167.85
Doc Redman,0,2.77,150,,0.54295,0.1481,0.031325,0.00585,,28.37721326,6600,2.2281,49.5599,51.79,8.99,,30.64448979,8000,1.5583,47.8472,49.41,6.5,,,1.1293,43.09732,44.23,244.27
Brice Garnett,0,2.73,150,,0.550825,0.1458,0.0308,0.0051,,28.13963377,7000,2.3266,49.37295,51.7,5.78,,30.44032287,8200,1.6526,47.76823,49.42,4.6,,,1.1799,43.34683,44.53,8.93
Danny Willett,0,3.65,150,,0.532025,0.139275,0.029125,0.0048,,28.00317553,7700,2.1621,49.20655,51.37,-0.14,,30.23276581,9300,1.508,47.41282,48.92,0.79,,,1.0688,42.70304,43.77,-404.07
Chase Seiffert,0,4.56,150,,0.556575,0.153075,0.034125,0.0059,,28.36015444,7100,2.1918,48.9968,51.19,4.14,,30.59178933,8400,1.5307,47.21538,48.75,3.49,,,1.123,42.49193,43.61,-50.8
Kevin Chappell,0,8.17,150,,0.524425,0.13695,0.030025,0.0049,,28.01402259,6900,2.1384,48.86805,51.01,5.37,,30.27104627,8500,1.4883,47.11235,48.6,4.3,,,1.0713,42.36732,43.44,66.85
Rory Sabbatini,0,1.1,150,,0.552825,0.146825,0.031725,0.004825,,27.97051681,6900,2.1144,48.8499,50.96,5.28,,30.23560526,8000,1.4669,46.955,48.42,4.13,,,1.0586,42.24988,43.31,66.73
Roger Sloan,0,6.59,150,,0.535575,0.140825,0.0294,0.004825,,27.51964308,6700,2.0634,48.73485,50.8,6.54,,29.70586803,8400,1.4318,46.88956,48.32,4.98,,,1.0247,42.29344,43.32,184.55
Adam Schenk,0,1.59,150,,0.543925,0.142775,0.0284,0.003725,,27.42159117,6800,2.1342,48.6043,50.74,5.67,,29.65183553,8000,1.4855,46.90782,48.39,4.57,,,1.0458,42.50175,43.55,125.85
Greyson Sigg,0,1.59,150,,0.523525,0.134825,0.029775,0.004925,,27.82199424,6800,2.0413,48.25445,50.3,4.92,,30.02387027,9600,1.4129,46.30244,47.72,3.94,,,1.0082,41.64825,42.66,125.05
Will Gordon,0,3.42,150,,0.551675,0.145125,0.0319,0.005925,,27.57921781,6800,2.0191,48.2234,50.24,4.82,,29.86148599,8400,1.4059,46.36128,47.77,3.98,,,0.99,41.61449,42.6,125
Phil Mickelson,0,2.77,150,,0.536675,0.13755,0.0307,0.005775,,27.84589167,7500,1.8808,48.09615,49.98,-0.98,,30.03929679,8900,1.2907,45.85194,47.14,0.05,,,0.9225,40.82645,41.75,-288.08
Kyoung-Hoon Lee,0,1.22,150,,0.518425,0.12925,0.026025,0.004675,,27.70116347,7200,1.9853,47.83905,49.82,1.04,,29.94550439,8500,1.3993,45.85032,47.25,1.58,,,0.9933,41.15103,42.14,-111.02
Brandon Hagy,0,1.59,150,,0.530425,0.131875,0.028,0.005025,,27.58692965,6700,1.8308,47.30555,49.14,3.71,,29.82346485,8300,1.264,45.0822,46.35,3.11,,,0.883,40.25129,41.13,182.58
Nate Lashley,0,1.97,150,,0.515825,0.117575,0.0226,0.00365,,27.5788729,6900,1.8288,47.13115,48.96,1.87,,29.79220223,8500,1.2802,44.90107,46.18,1.99,,,0.8933,40.04199,40.94,64.6
Tom Lewis,0,1.1,150,,0.48195,0.113725,0.022275,0.003425,,27.39031095,6800,1.7308,46.8044,48.54,1.92,,29.50930955,8400,1.1795,44.4036,45.58,1.9,,,0.8315,39.47319,40.3,122.93
Joseph Bramlett,0,1.21,150,,0.51375,0.1189,0.023175,0.003475,,27.34985972,6600,1.8023,46.7027,48.51,3.4,,29.52405296,7700,1.2408,44.44947,45.69,2.96,,,0.8944,39.69569,40.59,240.99
Troy Merritt,0,0.61,150,,0.49475,0.10915,0.019125,0.0027,,26.78456628,6200,1.7725,46.56265,48.34,6.17,,29.03100286,7600,1.2408,44.44815,45.69,4.86,,,0.85,39.86992,40.72,476.72
Jim Furyk,0,3.95,150,,0.53975,0.129575,0.02505,0.0038,,26.78873654,6800,1.7489,46.4162,48.17,1.29,,28.99585438,8200,1.203,44.31732,45.52,1.84,,,0.8143,39.77397,40.59,123.19
Chesson Hadley,0,1.1,150,,0.510325,0.116975,0.022975,0.00365,,27.05625094,6600,1.7167,46.241,47.96,2.46,,29.3444224,7800,1.197,44.01389,45.21,2.5,,,0.8162,39.19776,40.01,240.47
Brandt Snedeker,0,0.11,150,,0.496825,0.1137,0.021775,0.00305,,26.90200794,6600,1.7101,46.1315,47.84,2.26,,29.07601197,7800,1.1815,43.87896,45.06,2.36,,,0.8277,39.2217,40.05,240.51
Vincent Whaley,0,0.83,150,,0.509925,0.1156,0.022725,0.003575,,27.1678625,6100,1.7351,45.8492,47.58,5.64,,29.36687253,7200,1.1889,43.52306,44.71,4.4,,,0.8366,38.84645,39.68,534.69
Tyler Duncan,0,1.1,150,,0.48215,0.099975,0.019025,0.0029,,26.89961398,6300,1.6482,45.8889,47.54,4.04,,29.00722132,7600,1.1335,43.50267,44.64,3.39,,,0.7892,38.82324,39.61,416.82
Bronson Burgoon,0,0.61,150,,0.481275,0.098125,0.01885,0.00295,,26.63421244,6500,1.6511,45.80965,47.46,2.37,,28.71811584,7500,1.1387,43.53114,44.67,2.46,,,0.7754,38.94424,39.72,299.11
Keith Mitchell,0,0.61,150,,0.496425,0.10655,0.021125,0.003175,,26.73398265,6400,1.5922,45.4643,47.06,2.46,,28.78849894,8100,1.0849,42.95995,44.04,2.34,,,0.7647,38.29397,39.06,357.42
Anirban Lahiri,0,0.11,150,,0.4729,0.1012,0.0184,0.002525,,27.04213569,6300,1.652,45.4002,47.05,3.2,,29.23339466,7200,1.1379,43.01401,44.15,2.92,,,0.7892,38.34731,39.14,416.4
Brian Stuard,0,1.59,150,,0.50075,0.1052,0.018875,0.002975,,26.76819084,6700,1.6154,45.32225,46.94,-0.04,,28.96220367,8100,1.1184,42.96806,44.09,0.96,,,0.7598,38.28531,39.05,180.71
Akshay Bhatia,0,3.15,150,,0.5067,0.1162,0.02415,0.004,,26.95129209,6400,1.6462,45.2466,46.89,2.17,,29.21338962,7300,1.1569,42.94519,44.1,2.4,,,0.7997,38.2293,39.03,357.4
Robby Shelton,0,0.11,150,,0.487275,0.102825,0.01825,0.003,,26.59235633,6500,1.503,45.14675,46.65,0.99,,28.6981875,7700,1.0253,42.57233,43.6,1.44,,,0.6943,37.73151,38.43,297.95
Kyle Stanley,0,0.61,150,,0.501925,0.108225,0.0206,0.00285,,26.57820065,6500,1.5819,44.8086,46.39,0.55,,28.80972875,8200,1.0999,42.38098,43.48,1.33,,,0.7502,37.74067,38.49,298.01
Austin Cook,0,0.11,150,,0.4923,0.09995,0.0188,0.00325,,26.48829528,6200,1.5073,44.71575,46.22,2.55,,28.64911422,7200,1.0191,42.24246,43.26,2.55,,,0.7019,37.53136,38.23,474.48
Kristoffer Ventura,0,0.11,150,,0.482275,0.0974,0.018475,0.002875,,26.41473749,6400,1.4858,44.41275,45.9,0.48,,28.51880765,7400,1.0154,41.86968,42.89,1.25,,,0.6987,37.21423,37.91,356.39
Ben Martin,0,1.1,150,,0.455625,0.0868,0.0151,0.0024,,26.13559191,6600,1.4753,44.31065,45.79,-1.24,,28.25620025,8300,0.9995,41.78413,42.78,0.19,,,0.6861,37.19411,37.88,238.56
Ryan Brehm,0,0.11,150,,0.47015,0.09055,0.015925,0.00215,,26.37196514,6200,1.4089,44.0737,45.48,1.29,,28.45619712,8200,0.938,41.3379,42.28,1.62,,,0.6425,36.5961,37.24,473.59
Rafael Campos,0,0.61,150,,0.431975,0.08045,0.014325,0.001975,,26.49273065,6900,1.3956,43.9514,45.35,-4.29,,28.52049826,8100,0.9416,41.13166,42.07,-1.91,,,0.6421,36.29882,36.94,61.01
Wesley Bryan,0,0.61,150,,0.43075,0.083725,0.01625,0.00245,,26.48995518,6300,1.3952,43.8427,45.24,0.12,,28.58149001,7500,0.9529,41.02226,41.98,0.86,,,0.6487,36.15501,36.8,414.29
Graeme McDowell,0,4.75,150,,0.439625,0.081175,0.014025,0.002425,,26.044561,6700,1.3635,43.8185,45.18,-3.05,,28.10319619,8300,0.9155,41.16704,42.08,-0.95,,,0.6244,36.41677,37.04,178.9
Ryan Armour,0,0.11,150,,0.43615,0.076675,0.012675,0.0017,,25.82838474,6500,1.3631,43.65355,45.02,-1.79,,27.91972271,7500,0.9226,41.02646,41.95,-0.13,,,0.6072,36.45974,37.07,296.73
Jason Dufner,0,0.11,150,,0.431075,0.078975,0.0135,0.00195,,25.66707276,6500,1.3283,43.463,44.79,-2.18,,27.78843104,7700,0.8969,40.82257,41.72,-0.34,,,0.5853,36.22982,36.82,296.51
Hank Lebioda,0,0.11,150,,0.469975,0.086975,0.014025,0.00195,,25.82738215,6200,1.3708,43.39755,44.77,0.08,,27.88648566,7000,0.9166,40.76411,41.68,1.05,,,0.6307,36.13691,36.77,473.17
Andrew Landry,0,0.61,150,,0.4393,0.0805,0.013425,0.002325,,25.90910809,6700,1.2793,43.4567,44.74,-3.8,,27.96555901,7800,0.8648,40.66301,41.53,-1.48,,,0.5667,35.87454,36.44,178.36
Beau Hossler,0,0.11,150,,0.44925,0.08195,0.01395,0.00195,,25.90993019,6300,1.2593,43.2152,44.47,-1.2,,27.8691989,7100,0.8239,40.25385,41.08,0,,,0.5571,35.43803,36,413.57
Rafa Cabrera Bello,0,0.11,150,,0.461075,0.083025,0.013725,0.001775,,25.47120142,6700,1.3066,43.08875,44.4,-4.38,,27.49259058,7900,0.8708,40.3455,41.22,-1.77,,,0.5875,35.80148,36.39,178.32
Kramer Hickok,0,0.11,150,,0.424325,0.07305,0.01105,0.001475,,25.64363938,6400,1.3021,42.937,44.24,-2.35,,27.71669715,7100,0.8773,40.21929,41.1,-0.46,,,0.5835,35.58868,36.17,354.82
Brian Gay,0,0.11,150,,0.458825,0.0829,0.013725,0.002275,,25.79283365,6300,1.2963,42.77605,44.07,-1.88,,27.89515515,7300,0.8759,40.00331,40.88,-0.19,,,0.5966,35.36312,35.96,413.54
Vaughn Taylor,0,0.11,150,,0.42645,0.07205,0.0117,0.00155,,25.4707466,6200,1.2535,42.7621,44.02,-1.2,,27.53316139,7400,0.8407,39.94676,40.79,0.2,,,0.5516,35.35394,35.91,472.39
J.B. Holmes,0,0.61,150,,0.44215,0.082575,0.014725,0.002075,,25.77952909,6500,1.181,42.5493,43.73,-3.99,,27.7848521,7700,0.7974,39.48453,40.28,-1.71,,,0.5376,34.63659,35.17,295.02
Camilo Villegas,0,0.61,150,,0.4454,0.080825,0.0139,0.00235,,25.67454792,6400,1.2158,42.31305,43.53,-3.56,,27.75566108,7400,0.811,39.43018,40.24,-1.28,,,0.5424,34.65798,35.2,353.95
Scott Brown,0,0.11,150,,0.417325,0.0719,0.011625,0.001625,,25.26621986,6400,1.1599,42.07905,43.24,-4.06,,27.33810057,7600,0.7803,39.09548,39.88,-1.62,,,0.5174,34.32555,34.84,353.63
Scott Harrington,0,0.11,150,,0.43525,0.072075,0.011475,0.001425,,25.03072354,6300,1.1165,42.11825,43.23,-3.31,,27.03279448,7100,0.7344,39.13082,39.87,-1.15,,,0.4872,34.44955,34.94,412.62
Seung-Yul Noh,0,0.11,150,,0.43595,0.07465,0.01275,0.00175,,25.47574387,6100,1.1823,41.9419,43.12,-1.97,,27.52214143,7000,0.7841,38.9887,39.77,-0.29,,,0.5195,34.3695,34.89,530.38
Xinjun Zhang,0,0.11,150,,0.45395,0.073475,0.010975,0.0013,,24.57675633,6000,1.1631,41.5871,42.75,-1.83,,26.53275071,7000,0.7657,38.79555,39.56,-0.02,,,0.4973,34.48781,34.99,589.37
Rob Oppenheim,0,0.11,150,,0.433525,0.07065,0.011,0.001475,,24.87209716,6200,1.0889,41.6544,42.74,-3.38,,26.84431005,7200,0.7045,38.59104,39.3,-1.22,,,0.4614,33.86199,34.32,470.97
